time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-18T14:44:09.900Z,34.328,-116.9366667,-1.74,1.48,ml,64,34,0.06685,0.18,ci,ci37706311,2017-07-18T17:23:08.377Z,"10km NNW of Big Bear Lake, CA",quarry blast,0.21,31.61,0.133,41,reviewed,ci,ci
2017-07-18T14:26:27.930Z,39.6378326,-122.3284988,9.06,1.6,md,10,124,0.3008,0.09,nc,nc72841416,2017-07-18T14:56:02.579Z,"16km SW of Orland, California",earthquake,0.49,0.68,0.22,4,automatic,nc,nc
2017-07-18T14:13:00.920Z,37.071,-97.9835,7.59,1.61,ml,10,86,0.09655,0.02,ismpkansas,ismpkansas70231123,2017-07-19T01:57:08.350Z,"Kansas",earthquake,0.22,0.65,0.098,16,reviewed,ismp,ismp
2017-07-18T14:05:09.420Z,19.2516667,-156.04,42.705,2.63,ml,45,255,0.1619,0.11,hv,hv61840201,2017-07-18T21:35:14.140Z,"29km SSW of Captain Cook, Hawaii",earthquake,0.82,1,0.18,11,reviewed,hv,hv
2017-07-18T14:00:06.872Z,60.3117,-144.6966,23.9,1.7,ml,,,,0.36,ak,ak16351364,2017-07-18T14:06:47.045Z,"63km ESE of Cordova, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-07-18T13:55:42.120Z,37.0783,-97.9721,4.53,2.2,mb_lg,,54,0.085,0.23,us,us20009xit,2017-07-19T01:41:39.840Z,"9km SSE of Anthony, Kansas",earthquake,1,3.9,0.147,12,reviewed,us,us
2017-07-18T13:53:56.160Z,37.4715004,-118.8375015,2.57,1.65,md,23,185,0.09356,0.03,nc,nc72841376,2017-07-18T14:24:01.520Z,"22km SSE of Mammoth Lakes, California",earthquake,0.44,1.06,0.21,20,automatic,nc,nc
2017-07-18T13:39:51.793Z,59.5136,-136.1436,0,1.5,ml,,,,0.79,ak,ak16351360,2017-07-18T13:46:48.885Z,"47km W of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-07-18T13:31:58.254Z,61.7853,-150.9462,62.7,1.7,ml,,,,0.47,ak,ak16351357,2017-07-18T13:46:48.579Z,"48km W of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-07-18T13:21:16.050Z,37.545166,-118.8296661,-1.94,1.24,md,8,174,0.04479,0.29,nc,nc72841351,2017-07-18T13:52:02.451Z,"17km SE of Mammoth Lakes, California",earthquake,1.43,1.74,0.13,8,automatic,nc,nc
2017-07-18T13:21:13.330Z,37.6396,91.8547,10,4.6,mb,,115,11.565,0.15,us,us20009xiq,2017-07-18T18:20:43.040Z,"Northern Qinghai, China",earthquake,8.7,2,0.245,5,reviewed,us,us
2017-07-18T13:10:53.610Z,54.2119,169.0637,10,4.4,mb,,98,3.357,0.74,us,us20009xim,2017-07-18T13:46:34.040Z,"226km ESE of Nikol'skoye, Russia",earthquake,11.6,1.9,0.057,89,reviewed,us,us
2017-07-18T12:37:35.507Z,62.2611,-150.2615,53.2,1.7,ml,,,,0.7,ak,ak16350902,2017-07-18T12:43:37.269Z,"10km SW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
